0,37.744323,-91.435524,public-access,"Low-water bridge at Short Bend, just off Hwy. 19.",No,No
0.08,37.745703,-91.435284,public-access,Hwy. 19 Bridge.,No,No
0.9,37.751476,-91.428093,public-access,Short Bend Access. Good access for canoes/kayaks.,No,No
6.3,37.789832,-91.450234,public-access,Low-water bridge access on extension of Hwy. M.,No,No
8.7,37.803033,-91.432894,public-access,Low-water bridge access at Cook Station.,No,No
10.1,37.828953,-91.437487,landmark,Hwy. M Bridge.,No,No
13.4,37.8573,-91.438817,landmark,Low dam. Portage.,No,No
13.7,37.8605,-91.433056,public-access,Low-water bridge access at Wesco.,No,No
16.7,37.891567,-91.453976,public-access,Low-water bridge access on road between Wesco and Hwy. U.,No,No
18.7,37.894757,-91.480319,public-access,Low-water bridge access. Hwy. U 1.3 miles north.,No,No
20.7,37.891499,-91.506018,landmark,Benton Creek on left.,No,No
26.1,37.950535,-91.511717,landmark,Hwy. 8 Bridge.,No,No
26.2,37.951017,-91.50859,public-access,Woodson K. Woods Wildlife Area and access on right. Reached from Hwy. 8. Usually the highest practical put-in. CBR,Yes,No
28.1,37.961717,-91.534374,landmark,"Maramec Spring branch, on left, is 0.7 mile long and is managed for trout fishing. The spring, with average daily flows of more than 90 million gallons. The park in the area of the spring and branch is owned and maintained by The James Foundation.",No,No
28.8,37.969561,-91.525291,landmark,"Dry Fork enters on left. Although this creek has a drainage as large as the upper Meramec, much of its water is thought to drain into the Maramec Spring system. Consequently, it is seldom floatable. Its gradient for the lower 23 miles from Hwy. F is 5.2.",No,No
32.8,37.98206,-91.487897,landmark,Richart Spring on left. Not open to public.,No,No
35.1,37.978016,-91.456696,public-access,Scotts Ford Access on northwest side of bridge. Gravel bar. No ramp. Private campground nearby.,No,No
41,37.978622,-91.430419,landmark,Indian Spring and private lodge on right.,No,No
42.3,37.992367,-91.42543,public-access,"Riverview Access, off Hwy. 0. CBR",Yes,No
43.9,38.011627,-91.404096,landmark,Pine Branch on left. McIntosh Spring is one of the springs feeding this branch. It has a flow of under a million gallons but once operated a water wheel.,No,No
44.4,38.00615,-91.393069,landmark,Private cottages on left.,No,No
46.8,37.989536,-91.384511,public-access,Fishing Spring Road access.,No,No
47,37.9897,-91.37993,landmark,Many private campgrounds in this area.,No,No
47.9,37.988998,-91.376233,landmark,Hwy. 19 Bridge.,No,No
50,37.997314,-91.360596,public-access,Bird's Nest Access (Crawford County) on right. St. Louis-San Francisco R.R. and county bridges. Good rift in river. City park and private campground. CBR,Yes,No
50.5,37.998815,-91.351866,landmark,Whittenburg Creek on right.,No,No
55.3,38.014962,-91.321256,landmark,Private campground.,No,No
58.3,38.041082,-91.304438,landmark,Lick Creek on left.,No,No
59.1,38.045594,-91.299602,landmark,Saranac Spring branch on left and private campground.,No,No
62,38.042054,-91.289477,landmark,Spring branch on left.,No,No
65.9,38.031716,-91.227743,landmark,"Huzzah Creek enters on right. Section just above Huzzah Creek often has log obstructions. The Huzzah and its companion creek, the Courtois, are floatable and are described separately. Huzzah Conservation Area extends along right bank for next 1.5 miles.",No,No
66.2,38.035637,-91.220856,public-access,"Huzzah Conservation Area and access, off Hwy. E.",No,No
